Time,Box,Type,Number,Sub,Analysis,199,200,201,202,196,
38,16,bb,3,,MeHg,4.8869,9.5884,11.8003,15.9141,10.9506,
38,16,bb,4,,MeHg,4.6958,9.2135,11.3389,15.2917,10.5223,
38,17,bb,1,,MeHg,7.1507,14.0302,17.2667,23.2861,16.0233,
38,17,bb,2,,MeHg,6.0891,11.9473,14.7033,19.829,13.6445,
38,17,bb,3,,MeHg,4.1776,8.1967,10.0875,13.6041,9.3611,
38,17,bb,4,,MeHg,6.5721,12.8949,15.8695,21.4018,14.7267,
38,18,bb,1,,MeHg,3.7818,7.4202,9.1319,12.3154,8.4743,
38,18,bb,2,,MeHg,4.262,8.3623,10.2914,13.8791,9.5503,
38,18,bb,3,,MeHg,4.7761,9.371,11.5327,15.5531,10.7022,
38,18,bb,4,,MeHg,5.2484,10.2977,12.6732,17.0912,11.7605,
38,16,bp,1,,MeHg,3.7118,7.2828,8.9628,12.0873,8.3173,
38,16,bp,2,,MeHg,2.8917,5.6736,6.9824,9.4166,6.4796,
38,16,bp,3,,MeHg,3.4515,6.7721,8.3343,11.2397,7.7341,
38,16,bp,4,,MeHg,3.4159,6.7022,8.2483,11.1237,7.6543,
38,17,bp,1,,MeHg,3.0456,5.9757,7.3541,9.9179,6.8246,
38,17,bp,2,,MeHg,3.4068,6.6843,8.2263,11.094,7.6339,
38,17,bp,3,,MeHg,3.5075,6.8819,8.4694,11.422,7.8595,
38,17,bp,4,,MeHg,3.7308,7.3201,9.0087,12.1492,8.3599,
38,18,bp,1,,MeHg,3.3901,6.6516,8.186,11.0398,7.5965,
38,18,bp,2,,MeHg,2.8195,5.532,6.8081,9.1815,6.3179,
38,18,bp,3,,MeHg,3.3561,6.5848,8.1038,10.9289,7.5203,
38,18,bp,4,,MeHg,3.1747,6.229,7.6659,10.3384,7.1139,
38,16,bf,1,,MeHg,88.6421,135.7485,162.7085,234.847,14.6243,
38,16,bf,2,,MeHg,17.4894,58.7702,80.4738,142.9053,20.5803,
38,16,bf,3,,MeHg,25.587,63.3837,82.5078,167.9275,10.0205,
38,17,bf,1,,MeHg,35.9225,63.5066,96.2825,113.7875,10.8808,
38,17,bf,2,,MeHg,29.366,66.0911,108.6325,148.8548,10.5663,
38,17,bf,3,,MeHg,36.7463,67.1653,113.6059,134.9023,7.4842,
38,18,bf,1,,MeHg,22.9732,70.072,95.5957,175.5625,26.4561,
38,18,bf,2,,MeHg,27.0406,142.1545,206.0943,445.4044,20.8716,
31,16,dw,1,,TotHg,0.0966,0.1700,0.2169,0.2906,0.2944,
31,16,dw,2,,TotHg,0.0717,0.1393,0.1850,0.2527,0.1705,
31,16,dw,3,,TotHg,0.0976,0.1755,0.2262,0.3115,0.2712,
31,16,dw,4,,TotHg,0.0830,0.1418,0.1925,0.2363,0.1184,
31,16,dw,5,,TotHg,0.0780,0.1360,0.1886,0.2378,0.1094,
31,16,dw,6,,TotHg,0.1133,0.1984,0.2609,0.3562,0.1504,
31,17,dw,1,,TotHg,0.0707,0.1275,0.1826,0.2310,0.1612,
31,17,dw,2,,TotHg,0.1202,0.1991,0.2626,0.3387,0.2184,
31,17,dw,3,,TotHg,0.0889,0.1661,0.2362,0.3056,0.1347,
31,17,dw,4,,TotHg,0.1276,0.2167,0.2778,0.3521,0.1787,
31,17,dw,5,,TotHg,0.1150,0.2014,0.2672,0.3438,0.3308,
31,17,dw,6,,TotHg,0.1131,0.2057,0.2759,0.3627,0.2694,
31,18,dw,1,,TotHg,0.0647,0.1457,0.2001,0.2615,0.1731,
31,18,dw,2,,TotHg,0.0811,0.1648,0.2246,0.2927,0.1767,
31,18,dw,3,,TotHg,0.1115,0.2079,0.2849,0.3618,0.1356,
31,18,dw,4,,TotHg,0.1071,0.2138,0.2752,0.3594,0.2219,
31,18,dw,5,,TotHg,0.0977,0.1912,0.2570,0.3395,0.2248,
31,18,dw,6,,TotHg,0.0813,0.1681,0.2312,0.2941,0.1871,
